checks,comments,commits,dateLastComment,dateOpened,filesChanged,issue,issueHref,issueId,issueStatus,linesChanged,repoCommits,repoForks,repoHref,repoInfo,repoName,repoOwner,repoStargazers,repoTags,repoWatchers
,,,2019-10-18T11:06:46Z,2019-10-18T11:06:46Z,,"
        tensorflow warnings 
      ",https://github.com/RasaHQ/rasa/issues/4639,#4639,Status: Open,,"
              13,292
            ","
      2,133
    ",https://github.com/RasaHQ/rasa,"
          
",rasa,RasaHQ,"
      6,906
    ","Topic: nlp,Topic: machine-learning,Topic: machine-learning-library,Topic: bot,Topic: bots,Topic: botkit,Topic: rasa,Topic: luis,Topic: wit,Topic: nlu,Topic: conversational-bots,Topic: conversational-agents,Topic: conversational-ai,Topic: spacy,Topic: mitie,Topic: chatbot,Topic: chatbots,Topic: chatbots-framework,Topic: bot-framework,Topic: natural-language-processing","
      288
    "
"
        1
      ",,"
          1
        ",2019-10-11T01:23:42Z,2019-10-11T01:20:21Z,,"
        Create tensorflow
      ",https://github.com/lijian69/blog/pull/10,#10,Status: Open,,"
              19
            ","
      1
    ",https://github.com/lijian69/blog,"
          程序员进阶之道
        ",blog,lijian69,"
      0
    ","Topic: java,Topic: javascript,Topic: socket,Topic: thread,Topic: spring,Topic: springboot,Topic: springcloud","
      1
    "
,,,2019-10-22T23:45:23Z,2019-10-22T23:44:47Z,,"
        tensorflow  error
      ",https://github.com/mrharicot/monodepth/issues/237,#237,Status: Open,,"
              33
            ","
      490
    ",https://github.com/mrharicot/monodepth,"
          Unsupervised single image depth prediction with CNNs
        ",monodepth,mrharicot,"
      1,420
    ",,"
      74
    "
,,,2019-10-19T19:51:30Z,2019-10-19T19:51:30Z,,"
        TensorFlow support
      ",https://github.com/accraze/python-twelve-tone/issues/18,#18,Status: Open,,"
              72
            ","
      2
    ",https://github.com/accraze/python-twelve-tone,"
          
",python-twelve-tone,accraze,"
      9
    ","Topic: music-composition,Topic: midi,Topic: twelve-tone,Topic: matrix,Topic: numpy,Topic: music-generation","
      2
    "
,,,,2019-10-16T16:43:15Z,,"
        Tensorflow issue
      ",https://github.com/adtf2019/studious-winner/issues/1,#1,Status: Open,,,"
      0
    ",https://github.com/adtf2019/studious-winner,,studious-winner,adtf2019,"
      0
    ",,"
      1
    "
"
        5
      ","
            11
        ","
          34
        ",2019-10-10T00:08:19Z,2019-10-09T19:57:11Z,"
            11
        ","
        Pr/tensorflow
      ",https://github.com/spack/spack/pull/13112,#13112,Status: Open,414 lines changed,"
              12,963
            ","
      784
    ",https://github.com/spack/spack,"
          A flexible package manager that supports multiple versions, configurations, platforms, and compilers.
        ",spack,spack,"
      1,256
    ","Topic: python,Topic: spack,Topic: package-manager,Topic: hpc,Topic: scientific-computing,Topic: gov,Topic: supercomputer,Topic: build-tools,Topic: radiuss","
      84
    "
,,,,2019-10-11T07:04:58Z,,"
        tensorflow
      ",https://github.com/richzhang/colorization/issues/72,#72,Status: Open,,"
              92
            ","
      496
    ",https://github.com/richzhang/colorization,"
          Automatic colorization using deep neural networks. ""Colorful Image Colorization."" In ECCV, 2016.
        ",colorization,richzhang,"
      2,122
    ","Topic: caffe,Topic: colorization,Topic: automatic-colorization,Topic: deep-learning,Topic: deep-learning-algorithms,Topic: computer-vision","
      108
    "
"
        4
      ",,"
          0
        ",2019-10-16T02:33:51Z,2019-10-10T13:36:01Z,,"
        TensorFlow
      ",https://github.com/grantlemons/Alcuin-Robotics-2019-2020/pull/6,#6,Status: Open,,"
              45
            ","
      0
    ",https://github.com/grantlemons/Alcuin-Robotics-2019-2020,"
          The OnBotJava code for FTC 2019-2020
        ",Alcuin-Robotics-2019-2020,grantlemons,"
      0
    ",,"
      1
    "
,,,,2019-10-26T14:03:15Z,,"
        Tensorflow Requirement
      ",https://github.com/idealo/imagededup/issues/64,#64,Status: Open,,"
              360
            ","
      184
    ",https://github.com/idealo/imagededup,"
          
",imagededup,idealo,"
      2,434
    ","Topic: image-deduplication,Topic: neural-network,Topic: tensorflow,Topic: hashing,Topic: e-commerce,Topic: idealo,Topic: image-preprocessing,Topic: computer-vision","
      49
    "
,,,2019-10-24T13:43:22Z,2019-10-24T13:39:46Z,,"
        Integration with TensorFlow Federated
      ",https://github.com/tf-encrypted/rfcs/issues/11,#11,Status: Open,,"
              2
            ","
      0
    ",https://github.com/tf-encrypted/rfcs,"
          Community design documents
        ",rfcs,tf-encrypted,"
      1
    ",,"
      10
    "
